house,country,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,census_tract,lat,long,district
178,south_africa,0.29618338006197753,5,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
179,south_africa,-1.398855415806967,3,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
180,south_africa,-2.7087179923400724,1,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
181,south_africa,-1.398855415806967,3,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
182,south_africa,-3.016952337905353,3,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
183,south_africa,-1.7841483477635676,4,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
184,south_africa,-2.1551588915135307,1,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
185,south_africa,-2.133579696180361,9,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
186,south_africa,-2.7087179923400724,1,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
187,south_africa,-3.4268818010728817,1,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
188,south_africa,-1.5147373862079732,3,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
189,south_africa,1.4310408156547034,2,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
190,south_africa,-2.337707448590109,4,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
191,south_africa,-1.3157684391202664,2,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
192,south_africa,-1.4748530523896004,4,0,1,non-hh,national,NA,1,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
193,south_africa,-1.201813693227262,5,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
194,south_africa,-1.9591781187425126,5,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
