,house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
58,60,kisii,nyokabaria,kenya,11/8/2009,6,3,0.168593329,1.0,-0.674091366,34.77188889,-0.65,34.75,-1.7889425158500671,-1.8509891629219055,2.0,0.4,-3.8485057950019836,-0.3999999999999999,414311315.99458534,0.2144258914894218,0.408293776897601
59,61,kisii,nyokabaria,kenya,11/8/2009,2,0,-0.516799982,,-0.674091366,34.77188889,-0.65,34.75,-1.7889425158500671,-1.8509891629219055,2.0,0.4,-3.8485057950019836,-0.3999999999999999,414311315.99458534,0.2144258914894218,0.408293776897601
60,62,kisii,nyokabaria,kenya,11/8/2009,3,0,-0.628616663,,-0.674091366,34.77188889,-0.65,34.75,-1.7889425158500671,-1.8509891629219055,2.0,0.4,-3.8485057950019836,-0.3999999999999999,414311315.99458534,0.2144258914894218,0.408293776897601
61,63,kisii,nyokabaria,kenya,11/11/2009,1,0,0.711043299,,-0.674091366,34.77188889,-0.65,34.75,-1.7889425158500671,-1.8509891629219055,2.0,0.4,-3.8485057950019836,-0.3999999999999999,414311315.99458534,0.2144258914894218,0.408293776897601
62,64,kisii,nyokabaria,kenya,11/10/2009,4,0,3.172510728,,-0.674091366,34.77188889,-0.65,34.75,-1.7889425158500671,-1.8509891629219055,2.0,0.4,-3.8485057950019836,-0.3999999999999999,414311315.99458534,0.2144258914894218,0.408293776897601
63,65,kisii,nyokabaria,kenya,11/10/2009,6,0,0.98786441,,-0.674091366,34.77188889,-0.65,34.75,-1.7889425158500671,-1.8509891629219055,2.0,0.4,-3.8485057950019836,-0.3999999999999999,414311315.99458534,0.2144258914894218,0.408293776897601
64,66,kisii,nyokabaria,kenya,11/8/2009,6,0,0.858425867,,-0.674091366,34.77188889,-0.65,34.75,-1.7889425158500671,-1.8509891629219055,2.0,0.4,-3.8485057950019836,-0.3999999999999999,414311315.99458534,0.2144258914894218,0.408293776897601
65,67,kisii,kerera,kenya,11/9/2009,9,3,0.078673198,1.0,-0.754425695,34.82872552,-0.75,34.85,-1.5968827903270721,-1.6692858636379242,2.25,0.8,-3.845115154981613,-0.8,198846275.59763497,0.2176646620599989,-0.07095430164525252
66,68,kisii,irianyi,kenya,11/8/2009,4,9,3.053098658,1.0,-0.662238252,34.85472107,-0.65,34.85,-1.666750192642212,-1.7113603949546814,1.75,0.8,-3.1180976033210754,-0.7999999999999999,235461747.48176438,0.20952260109076443,0.41224182983684593
67,69,kisii,irianyi,kenya,11/8/2009,7,7,0.873465578,1.0,-0.662238252,34.85472107,-0.65,34.85,-1.666750192642212,-1.7113603949546814,1.75,0.8,-3.1180976033210754,-0.7999999999999999,235461747.48176438,0.20952260109076443,0.41224182983684593
68,70,kisii,irianyi,kenya,11/8/2009,6,6,1.48988447,1.0,-0.662238252,34.85472107,-0.65,34.85,-1.666750192642212,-1.7113603949546814,1.75,0.8,-3.1180976033210754,-0.7999999999999999,235461747.48176438,0.20952260109076443,0.41224182983684593
69,71,kisii,kerera,kenya,11/9/2009,6,1,1.589243591,1.0,-0.754425695,34.82872552,-0.75,34.85,-1.5968827903270721,-1.6692858636379242,2.25,0.8,-3.845115154981613,-0.8,198846275.59763497,0.2176646620599989,-0.07095430164525252
