,house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
81,83,masaka,maida,uganda,5,0,2.817910936,,-0.3857,31.3233,-0.4,31.3,-1.839668433,-1.953873436,3.1666666666666665,0.8,-5.99127998,-0.3,261440930.0888456,0.22278446458264606,-1.884128423
82,84,masaka,maida,uganda,3,0,0.526385118,,-0.3857,31.3233,-0.4,31.3,-1.839668433,-1.953873436,3.1666666666666665,0.8,-5.99127998,-0.3,261440930.0888456,0.22278446458264606,-1.884128423
83,85,masaka,maida,uganda,6,2,1.290668193,1,-0.3857,31.3233,-0.4,31.3,-1.839668433,-1.953873436,3.1666666666666665,0.8,-5.99127998,-0.3,261440930.0888456,0.22278446458264606,-1.884128423
84,86,masaka,maida,uganda,7,0,0.454857831,,-0.3857,31.3233,-0.4,31.3,-1.839668433,-1.953873436,3.1666666666666665,0.8,-5.99127998,-0.3,261440930.0888456,0.22278446458264606,-1.884128423
85,87,masaka,maida,uganda,3,2,-0.381728829,1,-0.3857,31.3233,-0.4,31.3,-1.839668433,-1.953873436,3.1666666666666665,0.8,-5.99127998,-0.3,261440930.0888456,0.22278446458264606,-1.884128423
86,88,masaka,maida,uganda,6,3,1.777191288,1,-0.3857,31.3233,-0.4,31.3,-1.839668433,-1.953873436,3.1666666666666665,0.8,-5.99127998,-0.3,261440930.0888456,0.22278446458264606,-1.884128423
87,89,masaka,maida,uganda,6,4,1.97746769,0,-0.3857,31.3233,-0.4,31.3,-1.839668433,-1.953873436,3.1666666666666665,0.8,-5.99127998,-0.3,261440930.0888456,0.22278446458264606,-1.884128423
88,90,masaka,maida,uganda,10,3,1.179085626,1,-0.3857,31.3233,-0.4,31.3,-1.839668433,-1.953873436,3.1666666666666665,0.8,-5.99127998,-0.3,261440930.0888456,0.22278446458264606,-1.884128423
89,91,kampala,zone iv c,uganda,1,1,4.16308135,1,0.323160174,32.55801405,0.3,32.55,-1.752386659,-1.825076967,2.25,0.8,-4.122070104,-0.8,263936467.40063375,0.25546881562277934,-1.25597611
90,92,kampala,zone iv c,uganda,1,1,1.901859362,0,0.323160174,32.55801405,0.3,32.55,-1.752386659,-1.825076967,2.25,0.8,-4.122070104,-0.8,263936467.40063375,0.25546881562277934,-1.25597611
91,93,kampala,zone iv c,uganda,4,1,2.792508908,0,0.323160174,32.55801405,0.3,32.55,-1.752386659,-1.825076967,2.25,0.8,-4.122070104,-0.8,263936467.40063375,0.25546881562277934,-1.25597611
92,94,kampala,zone iv c,uganda,2,0,3.56272534,,0.323160174,32.55801405,0.3,32.55,-1.752386659,-1.825076967,2.25,0.8,-4.122070104,-0.8,263936467.40063375,0.25546881562277934,-1.25597611
93,95,kampala,zone iv c,uganda,2,1,3.075409169,0,0.323160174,32.55801405,0.3,32.55,-1.752386659,-1.825076967,2.25,0.8,-4.122070104,-0.8,263936467.40063375,0.25546881562277934,-1.25597611
94,96,kampala,zone iv c,uganda,4,1,2.829539172,0,0.323160174,32.55801405,0.3,32.55,-1.752386659,-1.825076967,2.25,0.8,-4.122070104,-0.8,263936467.40063375,0.25546881562277934,-1.25597611
95,97,kampala,zone iv c,uganda,1,0,3.161241913,,0.323160174,32.55801405,0.3,32.55,-1.752386659,-1.825076967,2.25,0.8,-4.122070104,-0.8,263936467.40063375,0.25546881562277934,-1.25597611
96,98,kampala,zone iv c,uganda,1,1,2.697788511,0,0.323160174,32.55801405,0.3,32.55,-1.752386659,-1.825076967,2.25,0.8,-4.122070104,-0.8,263936467.40063375,0.25546881562277934,-1.25597611
97,99,kampala,zone iv c,uganda,2,0,3.075409169,,0.323160174,32.55801405,0.3,32.55,-1.752386659,-1.825076967,2.25,0.8,-4.122070104,-0.8,263936467.40063375,0.25546881562277934,-1.25597611
98,100,kampala,zone iv c,uganda,3,1,2.83542528,0,0.323160174,32.55801405,0.3,32.55,-1.752386659,-1.825076967,2.25,0.8,-4.122070104,-0.8,263936467.40063375,0.25546881562277934,-1.25597611
99,101,kanungu,market lc1,uganda,2,0,1.255298296,,1.18778,30.78382,1.2,30.8,-1.803666015,-1.881658574,1.8333333333333333,0.8,-3.445921481,-0.3,347782923.2577861,0.26728540699609893,-0.058476351
100,102,kanungu,market lc1,uganda,2,0,0.245514351,,1.18778,30.78382,1.2,30.8,-1.803666015,-1.881658574,1.8333333333333333,0.8,-3.445921481,-0.3,347782923.2577861,0.26728540699609893,-0.058476351
101,103,kanungu,market lc1,uganda,4,0,0.952825291,,1.18778,30.78382,1.2,30.8,-1.803666015,-1.881658574,1.8333333333333333,0.8,-3.445921481,-0.3,347782923.2577861,0.26728540699609893,-0.058476351
102,105,kanungu,market lc1,uganda,6,0,0.28212824,,1.18778,30.78382,1.2,30.8,-1.803666015,-1.881658574,1.8333333333333333,0.8,-3.445921481,-0.3,347782923.2577861,0.26728540699609893,-0.058476351
103,106,kanungu,market lc1,uganda,1,0,3.551052222,,1.18778,30.78382,1.2,30.8,-1.803666015,-1.881658574,1.8333333333333333,0.8,-3.445921481,-0.3,347782923.2577861,0.26728540699609893,-0.058476351
104,107,kanungu,market lc1,uganda,3,0,3.50813585,,1.18778,30.78382,1.2,30.8,-1.803666015,-1.881658574,1.8333333333333333,0.8,-3.445921481,-0.3,347782923.2577861,0.26728540699609893,-0.058476351
105,108,kanungu,market lc1,uganda,1,0,1.210323524,,1.18778,30.78382,1.2,30.8,-1.803666015,-1.881658574,1.8333333333333333,0.8,-3.445921481,-0.3,347782923.2577861,0.26728540699609893,-0.058476351
106,109,kanungu,market lc1,uganda,6,1,-0.148325073,0,1.18778,30.78382,1.2,30.8,-1.803666015,-1.881658574,1.8333333333333333,0.8,-3.445921481,-0.3,347782923.2577861,0.26728540699609893,-0.058476351
107,110,kanungu,market lc1,uganda,3,0,0.237922275,,1.18778,30.78382,1.2,30.8,-1.803666015,-1.881658574,1.8333333333333333,0.8,-3.445921481,-0.3,347782923.2577861,0.26728540699609893,-0.058476351
108,111,ntungamo,cell 5,uganda,1,0,3.161241913,,0.33094,31.08708,0.35,31.1,-1.720076337,-1.787798524,1.75,1.2,-3.120292068,-0.533333333,262944628.8983548,0.24453602632665258,-0.76819708
