,house,date,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,pop_cent_lat,pop_cent_long,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
70,72,2/23/2010,masaka,lwayebele,uganda,8,2,-0.728916392,0,0.77240684,32.26219094,0.75,32.25,0.716666979,32.29741899,-1.812602043,-1.992066294,3.25,0.8,-5.726076543,-0.8,458611920.8658353,0.27699687142457513,0.1817303951046328
71,73,2/23/2010,masaka,lwayebele,uganda,5,6,-1.679753428,0,0.77240684,32.26219094,0.75,32.25,0.716666979,32.29741899,-1.812602043,-1.992066294,3.25,0.8,-5.726076543,-0.8,458611920.8658353,0.27699687142457513,0.1817303951046328
72,74,2/23/2010,masaka,lwayebele,uganda,6,0,-2.051695319,,0.77240684,32.26219094,0.75,32.25,0.716666979,32.29741899,-1.812602043,-1.992066294,3.25,0.8,-5.726076543,-0.8,458611920.8658353,0.27699687142457513,0.1817303951046328
73,75,2/23/2010,masaka,lwayebele,uganda,5,0,-0.324946347,,0.77240684,32.26219094,0.75,32.25,0.716666979,32.29741899,-1.812602043,-1.992066294,3.25,0.8,-5.726076543,-0.8,458611920.8658353,0.27699687142457513,0.1817303951046328
74,76,2/23/2010,masaka,lwayebele,uganda,5,0,-0.664541834,,0.77240684,32.26219094,0.75,32.25,0.716666979,32.29741899,-1.812602043,-1.992066294,3.25,0.8,-5.726076543,-0.8,458611920.8658353,0.27699687142457513,0.1817303951046328
75,77,2/23/2010,masaka,lwayebele,uganda,4,1,-2.454191402,0,0.77240684,32.26219094,0.75,32.25,0.716666979,32.29741899,-1.812602043,-1.992066294,3.25,0.8,-5.726076543,-0.8,458611920.8658353,0.27699687142457513,0.1817303951046328
76,78,2/23/2010,masaka,lwayebele,uganda,4,0,-2.22851297,,0.77240684,32.26219094,0.75,32.25,0.716666979,32.29741899,-1.812602043,-1.992066294,3.25,0.8,-5.726076543,-0.8,458611920.8658353,0.27699687142457513,0.1817303951046328
77,79,2/23/2010,masaka,lwayebele,uganda,9,0,-0.839606812,,0.77240684,32.26219094,0.75,32.25,0.716666979,32.29741899,-1.812602043,-1.992066294,3.25,0.8,-5.726076543,-0.8,458611920.8658353,0.27699687142457513,0.1817303951046328
78,80,2/23/2010,masaka,lwayebele,uganda,1,0,-1.246107466,,0.77240684,32.26219094,0.75,32.25,0.716666979,32.29741899,-1.812602043,-1.992066294,3.25,0.8,-5.726076543,-0.8,458611920.8658353,0.27699687142457513,0.1817303951046328
79,81,2/22/2010,masaka,maida,uganda,2,2,-0.678407943,0,-0.3857,31.3233,-0.4,31.3,-0.399080159,31.31153159,-1.738421544,-1.832413912,2.75,1,-5.047783852,-0.6,439172677.78852403,0.22278446458264606,-1.508942417
80,82,2/22/2010,masaka,maida,uganda,6,0,3.014957121,,-0.3857,31.3233,-0.4,31.3,-0.399080159,31.31153159,-1.738421544,-1.832413912,2.75,1,-5.047783852,-0.6,439172677.78852403,0.22278446458264606,-1.508942417
81,83,2/22/2010,masaka,maida,uganda,5,0,2.817910936,,-0.3857,31.3233,-0.4,31.3,-0.399080159,31.31153159,-1.738421544,-1.832413912,2.75,1,-5.047783852,-0.6,439172677.78852403,0.22278446458264606,-1.508942417
82,84,2/22/2010,masaka,maida,uganda,3,0,0.526385118,,-0.3857,31.3233,-0.4,31.3,-0.399080159,31.31153159,-1.738421544,-1.832413912,2.75,1,-5.047783852,-0.6,439172677.78852403,0.22278446458264606,-1.508942417
