house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion
140,lagos,ajido,nigeria,8,1,-0.364078815,0,6.41667,3.01667,6.4,3,0,0,0,0,0,0
141,lagos,ajido,nigeria,4,0,0.107906472,,6.41667,3.01667,6.4,3,0,0,0,0,0,0
142,lagos,ajido,nigeria,9,2,0.5017207896851332,0,6.41667,3.01667,6.4,3,0,0,0,0,0,0
143,lagos,ajido,nigeria,1,1,2.1976965566259503,1,6.41667,3.01667,6.4,3,0,0,0,0,0,0
144,lagos,ajido,nigeria,5,2,1.200362998639943,0,6.41667,3.01667,6.4,3,0,0,0,0,0,0
145,lagos,ajido,nigeria,3,1,1.2454556329906392,0,6.41667,3.01667,6.4,3,0,0,0,0,0,0
146,lagos,ajido,nigeria,2,1,1.2680019501659876,1,6.41667,3.01667,6.4,3,0,0,0,0,0,0
147,lagos,ajido,nigeria,3,0,1.1778166814645945,,6.41667,3.01667,6.4,3,0,0,0,0,0,0
148,lagos,ajido,nigeria,8,2,1.1327240471138975,1,6.41667,3.01667,6.4,3,0,0,0,0,0,0
149,lagos,ajido,nigeria,3,2,0.8854247652870763,0,6.41667,3.01667,6.4,3,0,0,0,0,0,0
150,lagos,ajido,nigeria,8,1,0.9885715789370916,0,6.41667,3.01667,6.4,3,0,0,0,0,0,0
151,ondo,akinala alade,nigeria,5,2,3.2629455867585637,1,7.109534365,5.115648862,7.1,5.1,-1.839054763,-1.990749955,2,0.3333333333333333,-3.758841038,-0.333333333
152,ondo,akinala alade,nigeria,3,1,0.7412722971102707,0,7.109534365,5.115648862,7.1,5.1,-1.839054763,-1.990749955,2,0.3333333333333333,-3.758841038,-0.333333333
153,ondo,akinala alade,nigeria,3,1,1.9949549838139624,1,7.109534365,5.115648862,7.1,5.1,-1.839054763,-1.990749955,2,0.3333333333333333,-3.758841038,-0.333333333
154,ondo,akinala alade,nigeria,4,2,1.125373983971006,0,7.109534365,5.115648862,7.1,5.1,-1.839054763,-1.990749955,2,0.3333333333333333,-3.758841038,-0.333333333
155,ondo,akinala alade,nigeria,3,2,1.7057650780558746,0,7.109534365,5.115648862,7.1,5.1,-1.839054763,-1.990749955,2,0.3333333333333333,-3.758841038,-0.333333333
156,ondo,akinala alade,nigeria,4,3,2.280175140914708,1,7.109534365,5.115648862,7.1,5.1,-1.839054763,-1.990749955,2,0.3333333333333333,-3.758841038,-0.333333333
